area,rent
2000,31500
2100,35000
2500,41050
2250,36100
3000,52100
1900,32500
1500,20000
1850,24500
2700,48000
2100,31000
2150,34500
2100,32000
2100,34500
2510,40050
2250,34100
3100,51500
1800,30500
1550,21000
1800,25000
2700,47000
2110,31500
2100,33500
3500,70000
1200,20000
2800,50000
3100,53000
2750,48000
1800,25000
2200,31460
3100,51400
2100,33500
2100,35010
2500,41100
2250,35100
3000,52200
1900,32300
1500,20200
1850,24000
2700,47500
2100,31500
2150,34400
2100,32020
2100,34700
2510,40000
2250,35000
3100,51000
1800,30000
1550,21500
1800,25500
2700,47500
2110,31000
2100,33000
3500,70500
1200,20100
2800,51000
3100,54000
2750,48500
1800,25100
2200,31560
3100,51600
